text,label
qlqr pesquisa negativa notícia falsa cnn abc nbc eleições desculpa povo quer segurança fr _ httpstcoogluzxphbe,0
rt moniquecheker projeto sen acirgurgacz quer limitar atuação mp inquérito civil tratase pls nº 1982013 limita praz _,0
rt bing_fla justiceiro_sujo chamasse branquinha iam falar bastava namorar branca orgulhar ainda,0
rt bralmello emirados árabes querem ir marte construir dubai lá 2117 uol usam grana ajudar re _,0
gabrisinhas leolimaduarte vamo parar reclamar cota estudar,0
vida protegida milhões brasileiros oram todos diasdeus nesta causa httpstco5643hnzkx3,0
homem morre homicídio criança morre homicídio hetero morre homicídio gay morre homofobia,1
quanta irresponsabilidade deve ter matado família desgosto httpstcoguzzdgqlcx,0
opinião deste tal juiz praticamente impede forças segurança país funcionem ridícula _ httpstco8qi1p2s6oh,0
oi pessoal aqui marisa lobo preciso ajuda assinar canal youtube preciso httpstcotxkbkjdbei,0
dnpsp vida aqui gozo caralho juiz cabrão vamos zulmira pai sérgio angola existe lei voz prova,0
porra tal aquecimento global httpstcojkt51kiwff,0
parabens hugo chavez morte,0
sapatão machista uó pqp vai tratar mana,1
trolandocomhumornegro vamos tirar página silas mala cheia facebook sai tb vai sair httptcoqwyfowjp,0
dica fantasia barata curtir carnaval 1 marque ir bloco 2 apareça 3 diga fantasiado pai feminista,1
tathiane_visccp mulher burra demais faz pqp,1
expresso henriqumonteiro explicado diria antes deturpado diabolizado qualquer insurja contra sistema odiado,0
rt vanguardapop atenção esquerdistas choro livre bolsonaropresidente httpstcoor5j3exutg,0
linda sabrinasatoreal ajuda divulgar primeiro livro melaineribeiro escritora musico wwwaescritoraeomusicoblogspotcom,0
mulher falando tô esperando comida falando sobre sla senti burra masterchefbr,1
mulher esperta sabe ter homem palma mão mulher burra apenas acha vdd nada,1
bolsonaopressor pt psdb mesma bosta,0
alexandraparkclub paraíso apenas 40min curitiba litoral faça evento empresas igrejas httpstcoc4e3yzupsf,0
sabem descobri pessoa acróstica adivinhem hahahah,0
subjuga pensamento único vive condicionado recusa infâmia dessa agenda vive livre httpstco1jewbuxvjk,0
teta loirinha tá demais altashoras httpstcolls954cbjo,1
rt naokahlo pesado real estaremos ocupando ruas neste dia 8m httpstco1mfoko22ks,0
transposição rio francisco obra merda custou bilhões enriqueceu empreiteiros petistas httpstcoliqpsfwoux,0
