text,label
helderrocha16 chagaluccas crime podese dizer homofobia absurdo,0
rt ajulysantos cynara menezes hoje vai sonhar reinaldo azevedo repetiu todo discurso contra joice,0
prisão caxias ligou 112 detectou fuga chilenos sorte terem mandado psp cercar praça chile,0
sentiram q tá tudo errado q pessoas importantes acabam s perdendo errosinseguranças foda hora mudar boas noites,0
final dia mulheres vc ja pode feliz marxista ja nao pode dizer feminista né q pegam _ httpstcot0xe98ultc,1
lamentável toda equipe ainda sido aprovada maior atraso história país obstrução _ httpstcowucwrgpkwe,0
desempregado gente tenta tudo né kkkk httptcolaqgc108tp,0
jazz0deon cristao certa forma ateu budismo islao etc mesma,0
minycalegari tá exagerando,0
globo mostra belezas amor carnavalmas quer saber verdade liga recordtvoficial mostrando tda violência,0
observação importante sobre diainternacionaldamulher httpstco0vgvu7iho2,0
bolsonaro nazista turma psol democrática imprensa brasileira perdeu vergonha ir contra _ httpstcodaij52iiwb,0
presidente desse país darei passagens p bichas todas irem pra argentina serem governadas lindosqn maurício macri,0
barreiro candidatura pnr rpsantos1970 httpstcoqgsfthjw1x barreiro portugal _ httpstco7labeytfiz,0
parabens sapatão sdds attomiter httpstcohnz7wyc1wc,1
rt castellarinando igreja católica plena decadência padre júlio lancellotti acusado pedofilia mete política ataca bols _,0
vendo muita gente dizia direita falando vai votar doria caso candidate pt colocar gestor vc votaria nele,0
alexandraparkclub paraíso apenas 40min curitiba litoral faça evento empresas igrejas httpstcoc4e3yzupsf,0
dúvida nacionalistas falam mesma linguagem cá lá lado forças ordem gnrepublicana _ httpstcoi2517ebwmk,0
clodovil queria aprovar pl reduziria 513 250 politicos congresso deixaram _ httpstcomoawewobqc,0
belo legado petista sqn httpstcod3ji6o3t2e,0
discurso ódio vale contra direitaevangélico pra lacrar httpstcoyfosmkhzpj,0
resistência vão voltar fazer concerto bataclan sei dizem raio cai 2x sítio deixemme sonhar,0
rt bolsonarosp bom sinal padre petista júlio lancelotti demonstra desespero desconhecimento sobre bolsonaro httpstco8qd5boxtte,0
rt __andrea__b gabrielplnheiro porque ricos países vizinhos recebem refugiados httpstcorrinsfgiwo,0
onde feministas httpstcoxevjozie3h,0
rt janainadobrasil 17 precisamos combater corrupção mudar mentalidade,0
adorando cerimônia nao to entendendo monte país subdesenvolvido estádio,0
quero ver versão mad max preto branco parece bem maneira,0
rt ilisp_org 30 fatos mostram esquerda incoerente hipócrita httpstcocwcbgvmkpk httpstcofr51u7oeob,0
brasil quer legalização drogas stf legalização drogas rejeitada maioria população httpstcozm4pnocdai,0
gabrisinhas leolimaduarte poxa cê tá medo ficar enrugada tá medo filho empregada sala facul,0
estadao estuprador menor estará garantida defesa maria rosario igual champinha menina esquerda,1
pra gosta futebol fodase mané alma,0
2cron7_14 uma_brasileira chamam cristãos ignorantes ta universidade acha normalé porque sofreu lavagem cerebral,0
rt ajulysantos acha lindo acha arte vc fascista httpstcovhkdjqsvsm,0
maria vieira livre pensa cabeça ana bola produto lixo sistema emprego força _ httpstcoxwnwsujdkr,0
rt comendaserra pena capital pena morte políticos corruptos sistema bruto httpstcolfelpg5c12,0
rt mrtiagomendes grande espetáculo ontem opauloalmeida antes fã agora ainda vale pena ir ver s _,0
preciso fala nada pra pega donzela carnaval mostro carteira assinada 48 anos trabalho honesto ficam encharcadas,1
argumento httpstco4ylvg6wsqh,0
crivella freixo prefiro bolsonitro,0
xismaisxis esquecer pedido desculpa angola simplesmente pt estado direito,0
ainda dúvidas branco pode sofrer racismo httpstco3izbdyjcvj,0
qnd vi flamengo goleiro logo pensei putz prenderam felipe ganhouopiqueelisa sailogo sitiodobrunao,0
aninha_ebc ta chiques rs mtos contatos hahaah ta boa,0
fim mundo cancelado pq aeroporto portela capacidade receber asteróides devido saturação espaço aéreo,0
deixe notícias falsas dizerem grande conflito governo trump dando bem p _ httpstcoibxhrlqcf8,0
lava cueca q acabou comprar antes usar,0
fufas ligam nenhuma mal namoradas querem marcar date porque têm saudades lol,1
cara pode chamar quiser quero ver refutar falei fatos lógica verdades httpstco7mayryjrwu,0
capitalismo liga pra ninguém liberta pessoas ter oportunidade negociar verdadeira li _ httpstco9u7tdy201q,0
subjuga pensamento único vive condicionado recusa infâmia dessa agenda vive livre httpstco1jewbuxvjk,0
mulher nerd vai fazer experimentos esquisitos cozinha passar masterchefbr,0
dessa vez piadas humor negro santa maria rs,0
hahaha moço ótimo carpinejar rt milanuness rindo moço ta jo,0
cara lixo humano daqueles imbecis acham sabem tudo httpstcoocs4e9fev1,0
postei foto velha mãe momento respondeu pedi pq achei foto feia to gorda feia,1
